1,5.916666667,6.833333333,J
2,10.41666667,11.58333333,F
3,12.16666667,12.5,K
4,12.75,13.16666667,F
5,15.08333333,16,L
6,19.66666667,20.66666667,D
7,24.25,25.16666667,S
8,28.91666667,29.75,L
9,33.5,34.41666667,L
10,38.25,38.91666667,F
11,43.41666667,44.08333333,K
12,47.33333333,48.5,J
13,51.25,52.16666667,J
14,52.5,53.08333333,D
15,54.16666667,54.5,S
16,56.66666667,57.58333333,L
17,61.16666667,62.08333333,S
18,65.83333333,66.75,L
19,70.41666667,71.41666667,L
20,75.08333333,76,D
21,79.66666667,80.66666667,F
22,84.25,85.33333333,J
23,88.91666667,89.83333333,S
24,93.5,94.83333333,J
