1,14.98710417,15.3890625,F
2,16.88202083,17.34139583,F
3,21.590625,22.05,J
4,29.97420833,30.37616667,F
5,36.57772917,37.09452083,J
6,38.47264583,38.75975,F
7,45.01875,47.315625,F
8,48.0046875,48.406625,D
9,48.4640625,52.02420833,F
10,52.71327083,55.125,S
11,55.29725,56.10116667,F
12,56.2734375,59.37420833,D
13,60.178125,61.84335417,F
14,63.04920833,63.6234375,S
15,63.7956875,66.781625,D
16,67.06875,67.4706875,F
17,67.700375,69.42304167,S
18,69.71014583,71.26054167,F
19,71.54764583,74.8206875,D
20,74.99295833,75.3375,F
21,76.887875,77.46210417,J
22,81.5390625,82.05585417,K
23,90.0375,90.32460417,F
24,96.52616667,97.100375,K
25,98.4785,98.765625,K
